iter	RMSE
0	32761786.83
1	31474238.43
2	30297004.14
3	29250411.6
4	28273929.66
5	27356113.58
6	26582965.59
7	25852920.78
8	25192754.97
9	24567936.44
10	23999645.61
11	23457301.06
12	23018773.22
13	22609875.34
14	22234573.89
15	21873078.32
16	21570552.23
17	21228465.66
18	20917554.59
19	20616952.93
20	20344244.42
21	20109823.16
22	19910164.62
23	19691971.32
24	19541330.94
25	19373018.73
26	19226688.34
27	19064786.88
28	18928379.35
29	18798614.94
30	18684512.61
31	18557171.16
32	18433713.18
33	18329142.11
34	18255539.36
35	18164762.29
36	18039371.32
37	17961002.52
38	17867111.84
39	17782117.01
40	17705957.75
41	17611803.79
42	17526800.99
43	17470086.84
44	17422447.74
45	17365971.38
46	17315629.12
47	17255523.11
48	17207934.29
49	17118551.05
50	17075241.88
51	17034727.14
52	16955951.66
53	16883535.47
54	16845066.6
55	16805513.28
56	16757702.47
57	16690924.04
58	16631586.96
59	16581929.15
60	16532652.31
61	16494730.63
62	16452114.95
63	16443496.01
64	16412214.85
65	16359796.72
66	16309857.97
67	16258934.14
68	16212928.94
69	16173652.71
70	16153286.52
71	16148221.58
72	16100046.29
73	16068863.23
74	16060684.26
75	16037857.49
76	16005048.4
77	15976884.53
78	15944699.46
79	15936587.91
80	15897890.23
81	15859321.32
82	15829449.6
83	15800483.24
84	15775892.51
85	15758568.99
86	15732983.61
87	15728850.62
88	15705226.95
89	15676277.32
90	15650910.03
91	15626106.94
92	15603418.45
93	15570106.44
94	15528507.03
95	15489028.88
96	15464448.33
97	15454661.69
98	15422667.24
99	15399268.74
100	15359746.21
101	15357950.31
102	15324832.51
103	15297161.54
104	15269940.78
105	15262073.26
106	15248621.76
107	15226159.55
108	15198480.5
109	15168105.23
110	15157918.63
111	15140984.24
112	15120255.54
113	15100858.74
114	15079769.69
115	15059046.95
116	15043717.12
117	15031372.79
118	15014693.9
119	14971755.69
120	14967011.57
121	14948741.3
122	14933797.54
123	14914742.86
124	14892402.57
125	14883610.75
126	14866581.88
127	14850093.38
128	14832407.3
129	14814425.82
130	14794040.03
131	14789524.21
132	14785480
133	14771912.27
134	14752585.89
135	14728835.53
136	14703570.61
137	14681049.27
138	14671594.76
139	14653316
140	14640724.04
141	14628480.05
142	14612413.44
143	14585359.16
144	14569066.74
145	14550536.3
146	14540247.06
147	14527056
148	14509124.75
149	14505257
150	14495788.89
151	14478946.02
152	14469396.88
153	14467798.25
154	14452544.09
155	14434077.41
156	14424433.41
157	14413329.86
158	14398103.03
