iter	Passed	Remaining
0	202	202400
1	217	108365
2	229	76420
3	241	60110
4	254	50610
5	267	44294
6	280	39828
7	294	36500
8	306	33783
9	317	31385
10	329	29645
11	343	28257
12	356	27052
13	368	25924
14	381	25074
15	405	24954
16	435	25209
17	453	24747
18	467	24126
19	477	23412
20	491	22919
21	506	22505
22	521	22131
23	534	21730
24	546	21297
25	557	20888
26	570	20568
27	582	20232
28	594	19913
29	605	19563
30	616	19260
31	628	19014
32	640	18762
33	649	18458
34	660	18218
35	672	18000
36	683	17781
37	693	17562
38	705	17379
39	715	17182
40	727	17020
41	739	16869
42	750	16711
43	760	16530
44	772	16387
45	786	16301
46	800	16230
47	812	16109
48	833	16184
49	848	16114
50	860	16015
51	880	16054
52	892	15955
53	906	15881
54	931	15998
55	968	16318
56	999	16532
57	1025	16657
58	1052	16791
59	1076	16862
60	1099	16917
61	1115	16881
62	1131	16822
63	1144	16741
64	1157	16646
65	1167	16528
66	1179	16430
67	1192	16350
68	1204	16249
69	1216	16167
70	1230	16094
71	1242	16008
72	1256	15959
73	1273	15939
74	1283	15832
75	1294	15739
76	1305	15654
77	1315	15553
78	1329	15494
79	1341	15425
80	1355	15377
81	1375	15394
82	1402	15490
83	1425	15540
84	1443	15539
85	1458	15500
86	1473	15461
87	1485	15393
88	1502	15378
89	1515	15324
90	1525	15233
91	1536	15161
92	1547	15089
93	1556	15006
94	1568	14938
95	1580	14878
96	1590	14806
97	1600	14733
98	1612	14675
99	1622	14602
100	1634	14548
101	1646	14492
102	1656	14424
103	1666	14361
104	1678	14303
105	1690	14253
106	1700	14192
107	1711	14138
108	1723	14085
109	1733	14022
110	1746	13983
111	1759	13948
112	1771	13903
113	1790	13915
114	1825	14045
115	1840	14022
116	1856	14010
117	1878	14044
118	1897	14045
119	1923	14105
120	1957	14219
121	2043	14706
122	2074	14791
123	2117	14962
124	2147	15030
125	2166	15027
126	2187	15037
127	2205	15023
128	2218	14980
129	2235	14958
130	2249	14920
131	2258	14849
132	2270	14799
133	2282	14748
134	2292	14689
135	2302	14627
136	2313	14576
137	2326	14532
138	2339	14493
139	2354	14464
140	2369	14437
141	2380	14381
142	2390	14325
143	2401	14276
144	2413	14233
145	2424	14180
146	2434	14128
147	2448	14092
148	2460	14053
149	2471	14007
150	2481	13953
151	2495	13922
152	2508	13889
153	2520	13846
154	2530	13797
155	2560	13852
156	2580	13854
157	2595	13830
158	2612	13817
159	2624	13779
160	2636	13738
161	2646	13690
162	2657	13648
163	2670	13611
164	2681	13568
165	2693	13530
166	2709	13516
167	2723	13485
168	2755	13548
169	2803	13687
170	2835	13748
171	2850	13724
172	2867	13706
173	2878	13666
174	2892	13637
175	2905	13604
176	2920	13577
177	2934	13551
178	2954	13550
179	2973	13546
180	2993	13544
181	3016	13557
182	3042	13581
183	3064	13591
184	3115	13725
185	3148	13780
186	3195	13893
187	3240	13997
188	3286	14102
189	3314	14129
190	3357	14221
191	3396	14292
192	3445	14406
193	3513	14597
194	3545	14634
195	3577	14674
196	3590	14635
197	3601	14588
198	3611	14537
199	3624	14498
200	3636	14456
201	3648	14411
202	3658	14362
203	3672	14331
204	3687	14301
205	3709	14295
206	3722	14261
207	3738	14234
208	3752	14203
209	3766	14168
210	3780	14135
211	3796	14109
212	3810	14079
213	3821	14035
214	3834	13998
215	3845	13958
216	3855	13912
217	3867	13874
218	3880	13840
219	3894	13808
220	3905	13767
221	3918	13730
222	3931	13699
223	3948	13677
224	3962	13648
225	3976	13617
226	3989	13584
227	3998	13538
228	4011	13506
229	4024	13474
230	4044	13462
231	4058	13436
232	4072	13407
233	4086	13378
234	4099	13346
235	4112	13313
236	4126	13284
237	4141	13258
238	4159	13242
239	4176	13224
240	4190	13198
241	4205	13173
242	4219	13145
243	4233	13115
244	4247	13088
245	4259	13054
246	4270	13019
247	4283	12989
248	4295	12956
249	4305	12917
250	4317	12883
251	4333	12864
252	4363	12884
253	4382	12870
254	4401	12857
255	4432	12881
256	4449	12863
257	4467	12846
258	4490	12847
259	4503	12816
260	4517	12791
261	4530	12760
262	4544	12735
263	4559	12710
264	4578	12698
265	4610	12723
266	4630	12710
267	4652	12708
268	4674	12703
269	4691	12685
270	4705	12658
271	4720	12634
272	4745	12638
273	4762	12619
274	4776	12593
275	4791	12568
276	4809	12554
277	4824	12529
278	4841	12510
279	4853	12480
280	4866	12452
281	4880	12427
282	4895	12401
283	4906	12369
284	4918	12338
285	4930	12309
286	4940	12273
287	4952	12243
288	4966	12218
289	4978	12188
290	4988	12153
291	5001	12125
292	5016	12104
293	5030	12079
294	5042	12051
295	5052	12017
296	5065	11990
297	5078	11963
298	5090	11935
299	5102	11905
300	5113	11874
301	5124	11844
302	5138	11819
303	5148	11787
304	5160	11759
305	5173	11732
306	5182	11698
307	5196	11675
308	5210	11651
309	5229	11639
310	5244	11617
311	5256	11591
312	5269	11566
313	5283	11543
314	5293	11510
315	5306	11486
316	5318	11458
317	5333	11438
318	5345	11412
319	5358	11387
320	5373	11366
321	5387	11343
322	5399	11317
323	5413	11295
324	5432	11282
325	5457	11283
326	5471	11260
327	5485	11238
328	5499	11215
329	5511	11190
330	5521	11160
331	5534	11136
332	5548	11112
333	5561	11088
334	5571	11059
335	5583	11033
336	5597	11013
337	5619	11005
338	5633	10984
339	5647	10961
340	5664	10946
341	5675	10920
342	5686	10891
343	5696	10862
344	5708	10837
345	5719	10811
346	5729	10781
347	5741	10756
348	5752	10730
349	5762	10702
350	5772	10673
351	5785	10650
352	5797	10626
353	5807	10598
354	5820	10575
355	5834	10554
356	5851	10539
357	5864	10516
358	5876	10493
359	5888	10468
360	5900	10444
361	5911	10418
362	5922	10392
363	5935	10370
364	5949	10349
365	5964	10331
366	5981	10316
367	5991	10289
368	6007	10273
369	6017	10246
370	6029	10222
371	6040	10197
372	6049	10169
373	6066	10154
374	6080	10133
375	6092	10111
376	6106	10091
377	6119	10068
378	6130	10045
379	6143	10024
380	6156	10003
381	6167	9978
382	6177	9951
383	6188	9927
384	6200	9904
385	6210	9878
386	6223	9858
387	6235	9835
388	6245	9810
389	6257	9787
390	6272	9770
391	6286	9750
392	6298	9728
393	6309	9703
394	6321	9682
395	6336	9664
396	6349	9644
397	6370	9635
398	6389	9625
399	6412	9618
400	6431	9606
401	6442	9584
402	6454	9561
403	6469	9544
404	6487	9531
405	6504	9516
406	6520	9500
407	6536	9484
408	6551	9467
409	6564	9447
410	6580	9430
411	6594	9411
412	6608	9392
413	6622	9374
414	6635	9353
415	6648	9333
416	6662	9315
417	6679	9300
418	6693	9281
419	6708	9264
420	6720	9242
421	6730	9218
422	6741	9196
423	6754	9175
424	6764	9152
425	6775	9129
426	6787	9107
