iter	Passed	Remaining
0	10	10902
1	19	9861
2	29	9733
3	37	9461
4	47	9533
5	57	9496
6	65	9241
7	74	9293
8	83	9148
9	92	9113
10	100	9000
11	109	9026
12	119	9042
13	128	9079
14	141	9305
15	155	9575
16	169	9806
17	197	10769
18	229	11872
19	267	13125
20	302	14104
21	334	14881
22	355	15113
23	389	15839
24	417	16272
25	439	16474
26	453	16341
27	464	16121
28	476	15943
29	488	15808
30	501	15674
31	509	15408
32	519	15230
33	529	15036
34	539	14878
35	549	14725
36	561	14611
37	570	14438
38	579	14283
39	588	14121
40	597	13982
41	606	13833
42	615	13697
43	625	13598
44	634	13473
45	648	13444
46	657	13341
47	666	13217
48	675	13107
49	683	12993
50	693	12907
51	701	12785
52	710	12695
53	718	12587
54	729	12533
55	738	12453
56	746	12352
57	756	12280
58	764	12193
59	776	12161
60	785	12097
61	794	12014
62	803	11953
63	810	11859
64	823	11846
65	834	11809
66	845	11779
67	858	11767
68	869	11734
69	879	11682
70	891	11658
71	900	11604
72	910	11557
73	927	11610
74	948	11702
75	964	11725
76	972	11658
77	981	11596
78	989	11537
79	998	11477
80	1006	11414
81	1014	11360
82	1022	11301
83	1032	11261
84	1041	11212
85	1053	11201
86	1066	11188
87	1073	11126
88	1083	11085
89	1091	11039
90	1099	10985
91	1109	10946
92	1117	10899
93	1127	10867
94	1135	10813
95	1145	10786
96	1155	10761
97	1163	10709
98	1173	10675
99	1181	10629
100	1190	10593
101	1195	10521
102	1202	10476
103	1211	10439
104	1223	10432
105	1232	10396
106	1241	10360
107	1255	10366
108	1264	10333
109	1272	10299
110	1282	10274
111	1295	10271
112	1304	10241
113	1312	10200
114	1322	10177
115	1330	10141
116	1339	10111
117	1347	10074
118	1358	10057
119	1367	10027
120	1374	9988
121	1383	9956
122	1392	9926
123	1401	9901
124	1410	9872
125	1419	9846
126	1427	9814
127	1438	9802
128	1449	9787
129	1461	9780
130	1472	9768
131	1480	9737
132	1488	9700
133	1496	9673
134	1504	9643
135	1514	9620
136	1522	9590
137	1531	9567
138	1539	9539
139	1549	9516
140	1557	9489
141	1567	9470
142	1576	9446
143	1584	9416
144	1593	9394
145	1601	9365
146	1615	9375
147	1624	9354
148	1632	9326
149	1642	9305
150	1649	9276
151	1660	9265
152	1670	9248
153	1680	9232
154	1690	9215
155	1699	9196
156	1709	9179
157	1717	9154
158	1727	9135
159	1736	9117
160	1745	9093
161	1754	9074
162	1764	9060
163	1775	9049
164	1784	9030
165	1792	9003
166	1801	8983
167	1807	8953
168	1817	8934
169	1824	8906
170	1833	8890
171	1841	8866
172	1851	8849
173	1858	8821
174	1868	8806
175	1876	8786
176	1890	8788
177	1899	8771
178	1907	8747
179	1916	8728
180	1924	8708
181	1934	8693
182	1943	8674
183	1952	8657
184	1961	8641
185	1969	8619
186	1978	8603
187	1987	8585
188	1997	8571
189	2010	8570
190	2018	8549
191	2027	8531
192	2035	8513
193	2045	8497
194	2053	8477
195	2062	8462
196	2070	8441
197	2082	8436
198	2095	8436
199	2105	8423
200	2114	8405
201	2123	8389
202	2131	8369
203	2142	8358
204	2150	8338
205	2158	8321
206	2167	8302
207	2177	8292
208	2186	8274
209	2193	8253
210	2203	8237
211	2211	8219
212	2220	8203
213	2228	8184
214	2237	8170
215	2246	8155
216	2255	8139
217	2264	8122
218	2273	8107
219	2283	8094
220	2292	8080
221	2304	8074
222	2313	8060
223	2323	8048
224	2332	8034
225	2340	8016
226	2351	8007
227	2359	7988
228	2368	7975
229	2376	7957
230	2387	7948
231	2400	7945
232	2411	7937
233	2419	7920
234	2428	7905
235	2436	7886
236	2445	7873
237	2454	7857
238	2463	7844
239	2471	7825
240	2482	7817
241	2491	7804
242	2502	7795
243	2514	7791
244	2522	7773
245	2531	7760
246	2540	7746
247	2549	7729
248	2558	7716
249	2566	7700
250	2575	7685
251	2586	7676
252	2596	7666
253	2606	7653
254	2614	7637
255	2624	7626
256	2632	7610
257	2641	7597
258	2649	7579
259	2657	7564
260	2668	7554
261	2676	7538
262	2685	7525
263	2695	7514
264	2705	7505
265	2719	7505
266	2729	7494
267	2742	7489
268	2754	7484
269	2764	7475
270	2773	7461
271	2784	7452
272	2796	7445
273	2806	7435
274	2816	7425
275	2826	7414
276	2836	7404
277	2846	7392
278	2854	7376
279	2863	7364
280	2872	7349
281	2882	7339
282	2891	7324
283	2900	7312
284	2909	7300
285	2922	7295
286	2933	7288
287	2943	7275
288	2951	7261
289	2961	7250
290	2969	7235
291	2978	7222
292	2986	7206
293	2995	7193
294	3003	7178
295	3015	7171
296	3025	7160
297	3035	7151
298	3047	7145
299	3057	7135
300	3065	7119
301	3075	7107
302	3084	7094
303	3093	7082
304	3101	7067
305	3110	7054
306	3119	7042
307	3132	7037
308	3196	7148
309	3226	7181
310	3253	7208
311	3268	7208
312	3297	7237
313	3312	7235
314	3323	7228
315	3337	7223
316	3345	7209
317	3355	7197
318	3365	7183
319	3373	7169
320	3382	7155
321	3392	7142
322	3401	7129
323	3409	7114
324	3420	7103
325	3429	7090
326	3438	7076
327	3447	7063
328	3455	7047
329	3464	7033
330	3471	7017
331	3480	7003
332	3488	6988
333	3498	6975
334	3506	6960
335	3515	6947
336	3527	6939
337	3540	6934
338	3550	6922
339	3559	6909
340	3567	6895
341	3576	6881
342	3584	6865
343	3593	6852
344	3607	6849
345	3616	6835
346	3625	6822
347	3633	6807
348	3644	6798
349	3653	6785
350	3661	6770
351	3670	6757
352	3679	6744
353	3689	6732
354	3697	6717
355	3709	6710
356	3720	6701
357	3729	6688
358	3742	6682
359	3753	6673
360	3762	6659
361	3772	6648
362	3780	6633
363	3793	6627
364	3802	6615
365	3811	6603
366	3821	6591
367	3831	6579
368	3841	6568
369	3850	6556
370	3858	6542
371	3868	6530
372	3875	6514
373	3885	6502
374	3893	6488
375	3902	6475
376	3912	6464
377	3921	6453
378	3930	6440
379	3941	6431
380	3952	6421
381	3961	6408
382	3968	6393
383	3977	6380
384	3985	6366
385	3996	6356
386	4008	6348
387	4017	6337
388	4026	6324
389	4035	6311
390	4046	6302
391	4054	6289
392	4063	6275
393	4072	6263
394	4080	6249
395	4089	6238
396	4097	6223
397	4106	6212
398	4115	6199
399	4126	6189
400	4136	6179
401	4146	6168
402	4160	6162
403	4168	6149
404	4176	6136
405	4186	6124
406	4194	6111
407	4204	6100
408	4212	6087
409	4221	6074
410	4228	6060
411	4239	6050
412	4247	6037
413	4257	6026
414	4267	6015
415	4275	6002
416	4284	5989
417	4293	5977
418	4302	5965
419	4310	5952
420	4319	5940
421	4327	5927
422	4335	5914
423	4346	5904
424	4355	5892
425	4368	5885
426	4384	5883
427	4396	5875
428	4404	5862
429	4413	5850
430	4421	5837
431	4431	5826
432	4439	5813
433	4448	5801
434	4456	5788
435	4466	5777
436	4476	5767
437	4485	5755
438	4494	5743
439	4502	5730
440	4512	5720
441	4522	5709
442	4530	5696
443	4540	5685
444	4548	5672
445	4558	5662
446	4570	5653
447	4580	5643
448	4591	5634
449	4599	5621
450	4609	5610
451	4618	5599
452	4626	5586
453	4635	5574
454	4643	5562
455	4653	5551
456	4661	5538
457	4670	5527
458	4678	5514
459	4687	5502
460	4694	5489
461	4705	5479
462	4715	5469
463	4723	5456
464	4732	5444
465	4740	5432
466	4750	5421
467	4758	5409
468	4773	5404
469	4787	5398
470	4797	5388
471	4805	5375
472	4814	5364
473	4822	5351
474	4831	5340
475	4839	5327
476	4848	5316
477	4857	5304
478	4866	5293
479	4875	5282
480	4884	5270
481	4893	5259
482	4902	5247
483	4911	5236
484	4919	5223
485	4927	5211
486	4936	5199
487	4944	5188
488	4952	5175
489	4961	5164
490	4969	5151
491	4982	5144
492	4992	5133
493	5001	5123
494	5012	5114
495	5024	5105
496	5033	5093
497	5042	5082
498	5050	5070
499	5058	5058
500	5068	5047
501	5076	5036
502	5086	5025
503	5094	5013
504	5103	5002
505	5112	4991
506	5122	4981
507	5130	4969
508	5139	4957
509	5152	4950
510	5167	4945
511	5178	4935
512	5188	4925
513	5199	4916
514	5211	4907
515	5221	4897
516	5231	4887
517	5238	4874
518	5249	4865
519	5257	4853
520	5269	4844
521	5280	4835
522	5289	4824
523	5299	4813
524	5308	4802
525	5316	4791
526	5326	4780
527	5333	4767
528	5342	4757
529	5351	4745
530	5360	4734
531	5369	4723
532	5380	4714
533	5388	4702
534	5398	4692
535	5407	4681
536	5418	4671
537	5430	4663
538	5439	4652
539	5448	4640
540	5457	4630
541	5465	4618
542	5475	4608
543	5485	4598
544	5495	4588
545	5507	4579
546	5514	4567
547	5524	4556
548	5532	4544
549	5541	4533
550	5554	4525
551	5563	4515
552	5572	4504
553	5581	4493
554	5592	4483
555	5601	4473
556	5612	4463
557	5625	4456
558	5641	4450
559	5654	4442
560	5669	4436
561	5684	4430
562	5695	4420
563	5706	4411
564	5718	4402
565	5730	4394
566	5741	4384
567	5753	4375
568	5764	4366
569	5774	4356
570	5786	4347
571	5797	4337
572	5811	4330
573	5825	4323
574	5846	4321
575	5864	4316
576	5877	4308
577	5889	4299
578	5901	4290
579	5918	4285
580	5935	4280
581	5956	4278
582	5969	4269
583	5982	4261
584	5996	4254
585	6007	4243
